GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
gene-KPHS_00010,2614.830959505525,-0.16827682413062003,0.10507714707873048,-1.60145977321345,0.10927512287775387,0.1514877863654809
gene-KPHS_00020,1491.641384479772,-0.6359976621439167,0.11446643664695796,-5.556193420307881,2.7572133513935533e-8,7.226668784017807e-8
gene-KPHS_00030,20233.087945223473,0.7879923745106564,0.38664832274459343,2.038007998889412,0.04154913293200741,0.06248153603084164
gene-KPHS_00040,685.8923452412163,0.11921914280510033,0.13219795785107835,0.9018228779252496,0.36715096469192393,0.44564316712447527
gene-KPHS_00050,4392.856676230103,-0.10338807110115396,0.09556512631774397,-1.0818598277932425,0.2793148175285392,0.3508243003531324
gene-KPHS_00060,1739.4717076321306,0.041199709727483914,0.11697529491354115,0.35220864164467774,0.7246817965773147,0.7823865779679704
gene-KPHS_00070,20612.113502692122,2.688465961682635,0.08914286593813173,30.159070312463644,8.157062015248859e-200,2.1981941768792698e-198
gene-KPHS_00080,1618.3519434874795,2.348802230940296,0.1450356362230126,16.194655962543465,5.500448985223786e-59,5.490882986988614e-58
gene-KPHS_00090,1085.995400852388,2.530253487113834,0.1111333499115495,22.76772444210177,9.579183486715822e-115,1.553234836546577e-113
gene-KPHS_00100,9497.584382345729,1.9543663877316118,0.10656193586102272,18.34019222661722,3.9539655685952635e-75,4.818633198245607e-74
gene-KPHS_00110,798.8920270944019,0.4261770274470543,0.11789108191264172,3.6150065003462695,3.0034008565033845e-4,5.885804341525922e-4
gene-KPHS_00120,688.1653428566509,0.56182532844353394,0.14195161641565482,3.9578649587083836,7.562268899376666e-5,1.5710250988933068e-4
gene-KPHS_00130,3384.809463936531,-0.002017523313049177,0.09664226814108628,-0.0208761999470442,0.9833444121773178,0.9866101950529286
gene-KPHS_00140,5452.409135464672,0.020321194056196534,0.08534825574521183,0.23809735628178416,0.8118055851673883,0.8510984582394171
gene-KPHS_r00230,28.43412716369757,4.442685707600609,0.7025333149701016,6.323807872071776,2.551949943626759e-10,7.416806418439289e-10
gene-KPHS_r00150,190.44110370950847,3.7403645883173393,0.38643027681623365,9.679274147807172,3.6932873600573914e-22,1.741944901128137e-21
gene-KPHS_00150,1478.6805020757824,-0.5260879455897314,0.10579918278485224,-4.972514264685358,6.609010650876952e-7,1.6013390095413129e-6
gene-KPHS_00160,1863.0445344378331,-0.08925723265893604,0.11828006080769683,-0.7546261986122331,0.45047329958212845,0.5302085529323407
gene-KPHS_00170,9692.031079225244,-0.17559884718296812,0.08428587946541322,-2.08337207011081,0.037217322070209974,0.05650866978861728
gene-KPHS_00180,4324.482485193193,0.018401601351897084,0.1063505101226068,0.17302786164996006,0.8626295274848258,0.8907165835155424
gene-KPHS_00190,5640.966105853583,1.211818511075244,0.07701977923093904,15.733861135094676,8.863715942210555e-56,8.395664935361153e-55
gene-KPHS_00200,1859.5755275458087,-1.214791790533437,0.10236017399797992,-11.867816779574945,1.739478966540473e-32,1.086464555815268e-31
gene-KPHS_00210,13216.891422017114,-0.6732074373215493,0.07145963383857354,-9.420807260814083,4.4763309614371595e-21,2.0376002948968513e-20
gene-KPHS_00220,6257.37419536107,-1.2817839148156474,0.08819973476996304,-14.532741148924256,7.515189884122455e-48,6.325101163469632e-47
gene-KPHS_00230,2053.985669314417,0.8447283384024099,0.09228595966752662,9.15337870945553,5.51801346352732e-20,2.4252218438473827e-19
gene-KPHS_00240,11925.08969969994,-0.1763133477392892,0.08702314315904586,-2.0260512472763037,0.042759533314799,0.06421761413577871
gene-KPHS_00250,4069.4493728813163,-0.27017479861435956,0.08310034267515336,-3.2511875392680016,0.0011492402252270498,0.0021238373769488944
gene-KPHS_00260,1677.5637706374866,-1.1880681191490086,0.10857449235819097,-10.942423891143152,7.22422193435141e-28,4.022020747155878e-27
gene-KPHS_00270,19394.309581206937,-2.299161021440056,0.08565800069204699,-26.841170735537894,1.0694130457173762e-158,2.28194456595455e-157
gene-KPHS_00280,67.04441751344483,-2.462282266442116,0.42943457667053947,-5.733777390569016,9.821822393304929e-9,2.644336798197481e-8
gene-KPHS_00290,20464.307111889502,0.15973121381050764,0.08443944567799551,1.8916658266520665,0.058535519245183354,0.0859930185126094
gene-KPHS_00300,1877.830917064522,0.1681180223904731,0.10472596846628826,1.6053136089602362,0.10842480571881996,0.15054629531350425
gene-KPHS_00310,1676.6114164827427,-0.3450887674595815,0.11960197694265884,-2.885309894375981,0.003910285434205985,0.0068180554047212495
gene-KPHS_00320,299.7191660203731,-0.7515155820260087,0.18560927700917246,-4.04891174695363,5.145634242393552e-5,1.0854810933972433e-4
gene-KPHS_00330,5853.501582601302,-0.02509619014065771,0.10035026085689766,-0.2500859482213563,0.8025208824745291,0.8437535476739715
gene-KPHS_00340,1163.3132707764573,-0.07942204589724376,0.1360678945998817,-0.5836942368425007,0.5594260453496656,0.6336040845120522
gene-KPHS_00350,615.2391616583168,1.1901547986240009,0.13549878266589022,8.783509159330658,1.5845197640183282e-18,6.609842620250875e-18
gene-KPHS_00360,833.7476996427384,1.3505213298160959,0.13221711814958878,10.214421163590428,1.7089606579506555e-24,8.619889434654449e-24
gene-KPHS_00370,2561.5844136868022,-0.9727802595475583,0.10516976557582407,-9.249618977672956,2.252943410718439e-20,1.0048092601028624e-19
gene-KPHS_00380,2423.8915765031547,-0.23650273957361387,0.10157727711601418,-2.3283035959262586,0.01989598850020757,0.03139695047168459
gene-KPHS_00390,6884.921524646356,0.011869035416919072,0.08910541649623104,0.13320217651887759,0.8940334895742996,0.9158936694907157
